in:Variants,out:CHF/m2,out:Rendite %,out:Wohneinheiten,out:Gesschossfläche,img
0,107.99,5.99,414,35723.94384,Variants0.png
1,94.259,6.11,354,32710.284787,Variants1.png
2,109.09,5.91,408,35672.212789,Variants2.png
3,97.072,6.05,371,32377.596197,Variants3.png
4,142.368,5.58,509,44585.014597,Variants4.png
5,95.351,6.09,361,31941.645968,Variants5.png
6,99.87,6.04,374,33273.635781,Variants6.png
7,130.71,5.80,512,42307.80008,Variants7.png
8,113.559,6.14,462,38298.142613,Variants8.png
9,100.452,6.28,406,35798.687393,Variants9.png
10,117.5,6.09,471,39379.448329,Variants10.png
11,105.861,6.24,440,36188.41068,Variants11.png
12,151.157,5.74,578,48395.829079,Variants12.png
13,104.14,6.27,430,35752.46045,Variants13.png
14,108.902,6.21,442,37069.733943,Variants14.png
15,136.66,5.86,557,44385.122927,Variants15.png
